"Date","Issuance, Net","Issuance, Gross","Retirement, Gross","    Retirements, Repurchases","    Retirements, Mergers and Acquisitions"
"2023:Q1"," -98.02"," 138.85"," 236.87"," 173.98","  62.88"
"2023:Q2","-101.87"," 115.88"," 217.75"," 144.36","  73.39"
"2023:Q3","-120.55"," 111.10"," 231.66"," 158.56","  73.10"
"2023:Q4","-282.89"," 116.87"," 399.76"," 181.59"," 218.17"
"2024:Q1","-170.88"," 125.26"," 296.14"," 187.66"," 108.48"
"2024:Q2","-116.62"," 127.38"," 244.01"," 184.21","  59.79"
"2024:Q3"," -89.84"," 155.43"," 245.27"," 172.40","  72.88"
"2024:Q4"," -17.80"," 247.20"," 265.00"," 184.08","  80.92"
"2025:Q1","-127.83"," 183.89"," 311.72"," 221.22","  90.49"
"2025:Q2"," -33.36"," 223.66"," 257.02"," 180.19","  76.83"
"2025:Q3"," -94.94"," 210.88"," 305.82"," 176.14"," 129.68"
"2025:Q4"," -53.05"," 221.46"," 274.51"," 195.73","  78.78"
"2026:Q1","  25.20"," 361.45"," 336.25"," 176.10"," 160.15"
